page_id,page_number,xywh,short_title,credited_authors,printers,publishers,place_of_publication,year_of_publication,handle
1609_sacrobosco_tractatum_1476_p41.jpg,41,"245,548,157,96",Tractatum de spaera,"Sacrobosco, Johannes de","Pietro, Filippo di","Pietro, Filippo di",Venice,1475,hdl.handle.net/21.11103/sphaera.100262
1609_sacrobosco_tractatum_1476_p41.jpg,41,"341,282,94,142",Tractatum de spaera,"Sacrobosco, Johannes de","Pietro, Filippo di","Pietro, Filippo di",Venice,1475,hdl.handle.net/21.11103/sphaera.100262
1609_sacrobosco_tractatum_1476_p41.jpg,41,"594,411,136,45",Tractatum de spaera,"Sacrobosco, Johannes de","Pietro, Filippo di","Pietro, Filippo di",Venice,1475,hdl.handle.net/21.11103/sphaera.100262
1609_sacrobosco_tractatum_1476_p41.jpg,41,"545,360,110,43",Tractatum de spaera,"Sacrobosco, Johannes de","Pietro, Filippo di","Pietro, Filippo di",Venice,1475,hdl.handle.net/21.11103/sphaera.100262
1609_sacrobosco_tractatum_1476_p41.jpg,41,"345,874,113,101",Tractatum de spaera,"Sacrobosco, Johannes de","Pietro, Filippo di","Pietro, Filippo di",Venice,1475,hdl.handle.net/21.11103/sphaera.100262
1609_sacrobosco_tractatum_1476_p28.jpg,28,"528,814,138,149",Tractatum de spaera,"Sacrobosco, Johannes de","Pietro, Filippo di","Pietro, Filippo di",Venice,1475,hdl.handle.net/21.11103/sphaera.100262
1609_sacrobosco_tractatum_1476_p28.jpg,28,"501,538,122,139",Tractatum de spaera,"Sacrobosco, Johannes de","Pietro, Filippo di","Pietro, Filippo di",Venice,1475,hdl.handle.net/21.11103/sphaera.100262
1609_sacrobosco_tractatum_1476_p28.jpg,28,"401,768,159,37",Tractatum de spaera,"Sacrobosco, Johannes de","Pietro, Filippo di","Pietro, Filippo di",Venice,1475,hdl.handle.net/21.11103/sphaera.100262
1609_sacrobosco_tractatum_1476_p28.jpg,28,"202,504,127,30",Tractatum de spaera,"Sacrobosco, Johannes de","Pietro, Filippo di","Pietro, Filippo di",Venice,1475,hdl.handle.net/21.11103/sphaera.100262
1609_sacrobosco_tractatum_1476_p28.jpg,28,"456,465,127,55",Tractatum de spaera,"Sacrobosco, Johannes de","Pietro, Filippo di","Pietro, Filippo di",Venice,1475,hdl.handle.net/21.11103/sphaera.100262
1609_sacrobosco_tractatum_1476_p19.jpg,19,"579,577,160,81",Tractatum de spaera,"Sacrobosco, Johannes de","Pietro, Filippo di","Pietro, Filippo di",Venice,1475,hdl.handle.net/21.11103/sphaera.100262
