,page_id_,num_book_page_id,number,xywh,short_title,credited_authors,printers,publishers,place_of_publication,year_of_publication,handle
0,1746_sacrobosco_christophori_1593_p283.jpg,283,0.0,"2877,3644,42,49",In Sphaeram Ioannis de Sacro Bosco. Commentarius,"Clavius, Christoph;Sacrobosco, Johannes de","Julliéron, Guichard",Brothers Gabiano,Lyon,1593,hdl.handle.net/21.11103/sphaera.100363
1,1746_sacrobosco_christophori_1593_p283.jpg,283,6.0,"2884,3155,39,53",In Sphaeram Ioannis de Sacro Bosco. Commentarius,"Clavius, Christoph;Sacrobosco, Johannes de","Julliéron, Guichard",Brothers Gabiano,Lyon,1593,hdl.handle.net/21.11103/sphaera.100363
2,1746_sacrobosco_christophori_1593_p283.jpg,283,0.0,"3092,2969,43,43",In Sphaeram Ioannis de Sacro Bosco. Commentarius,"Clavius, Christoph;Sacrobosco, Johannes de","Julliéron, Guichard",Brothers Gabiano,Lyon,1593,hdl.handle.net/21.11103/sphaera.100363
3,1746_sacrobosco_christophori_1593_p283.jpg,283,0.0,"2855,2074,41,42",In Sphaeram Ioannis de Sacro Bosco. Commentarius,"Clavius, Christoph;Sacrobosco, Johannes de","Julliéron, Guichard",Brothers Gabiano,Lyon,1593,hdl.handle.net/21.11103/sphaera.100363
4,1746_sacrobosco_christophori_1593_p283.jpg,283,6.0,"2430,3558,39,55",In Sphaeram Ioannis de Sacro Bosco. Commentarius,"Clavius, Christoph;Sacrobosco, Johannes de","Julliéron, Guichard",Brothers Gabiano,Lyon,1593,hdl.handle.net/21.11103/sphaera.100363
5,1746_sacrobosco_christophori_1593_p283.jpg,283,3.0,"3065,2959,1,1",In Sphaeram Ioannis de Sacro Bosco. Commentarius,"Clavius, Christoph;Sacrobosco, Johannes de","Julliéron, Guichard",Brothers Gabiano,Lyon,1593,hdl.handle.net/21.11103/sphaera.100363
6,1746_sacrobosco_christophori_1593_p283.jpg,283,0.0,"2938,1978,41,41",In Sphaeram Ioannis de Sacro Bosco. Commentarius,"Clavius, Christoph;Sacrobosco, Johannes de","Julliéron, Guichard",Brothers Gabiano,Lyon,1593,hdl.handle.net/21.11103/sphaera.100363
7,1746_sacrobosco_christophori_1593_p283.jpg,283,0.0,"2839,3467,41,46",In Sphaeram Ioannis de Sacro Bosco. Commentarius,"Clavius, Christoph;Sacrobosco, Johannes de","Julliéron, Guichard",Brothers Gabiano,Lyon,1593,hdl.handle.net/21.11103/sphaera.100363
8,1746_sacrobosco_christophori_1593_p283.jpg,283,1.0,"2650,2273,34,48",In Sphaeram Ioannis de Sacro Bosco. Commentarius,"Clavius, Christoph;Sacrobosco, Johannes de","Julliéron, Guichard",Brothers Gabiano,Lyon,1593,hdl.handle.net/21.11103/sphaera.100363
9,1746_sacrobosco_christophori_1593_p283.jpg,283,0.0,"3135,3069,42,45",In Sphaeram Ioannis de Sacro Bosco. Commentarius,"Clavius, Christoph;Sacrobosco, Johannes de","Julliéron, Guichard",Brothers Gabiano,Lyon,1593,hdl.handle.net/21.11103/sphaera.100363
10,1746_sacrobosco_christophori_1593_p283.jpg,283,0.0,"2769,2277,40,41",In Sphaeram Ioannis de Sacro Bosco. Commentarius,"Clavius, Christoph;Sacrobosco, Johannes de","Julliéron, Guichard",Brothers Gabiano,Lyon,1593,hdl.handle.net/21.11103/sphaera.100363
