page_id,region,xywh,element_label,page_url,number,num_page_id,num_book_page_id,num_patch_id,book,page_id_
http://content.mpiwg-berlin.mpg.de/mpiwg/online/permanent/sphaera/1746_sacrobosco_christophori_1593/pageimg/1746_sacrobosco_christophori_1593_p283.jpg,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/00d9538a-1b65-4804-8b1e-f0c2c266fcd8,"2877,3644,42,49",0,http://db.sphaera.mpiwg-berlin.mpg.de/Scaler/IIIF/permanent!sphaera!1746_sacrobosco_christophori_1593!pageimg!1746_sacrobosco_christophori_1593_p283.jpg/full/max/0/default.jpg,0.0,0,283,0,1746_sacrobosco_christophori_1593,1746_sacrobosco_christophori_1593_p283.jpg
http://content.mpiwg-berlin.mpg.de/mpiwg/online/permanent/sphaera/1746_sacrobosco_christophori_1593/pageimg/1746_sacrobosco_christophori_1593_p283.jpg,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/00da3c8c-77e1-4454-9a6f-0e01fcba94c2,"2884,3155,39,53",6,http://db.sphaera.mpiwg-berlin.mpg.de/Scaler/IIIF/permanent!sphaera!1746_sacrobosco_christophori_1593!pageimg!1746_sacrobosco_christophori_1593_p283.jpg/full/max/0/default.jpg,6.0,0,283,1,1746_sacrobosco_christophori_1593,1746_sacrobosco_christophori_1593_p283.jpg
http://content.mpiwg-berlin.mpg.de/mpiwg/online/permanent/sphaera/1746_sacrobosco_christophori_1593/pageimg/1746_sacrobosco_christophori_1593_p283.jpg,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/02240653-0734-4bad-933b-10357c496a1f,"3092,2969,43,43",0,http://db.sphaera.mpiwg-berlin.mpg.de/Scaler/IIIF/permanent!sphaera!1746_sacrobosco_christophori_1593!pageimg!1746_sacrobosco_christophori_1593_p283.jpg/full/max/0/default.jpg,0.0,0,283,2,1746_sacrobosco_christophori_1593,1746_sacrobosco_christophori_1593_p283.jpg
http://content.mpiwg-berlin.mpg.de/mpiwg/online/permanent/sphaera/1746_sacrobosco_christophori_1593/pageimg/1746_sacrobosco_christophori_1593_p283.jpg,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/023d5469-7434-4ba6-896a-5336a62e71a1,"2855,2074,41,42",0,http://db.sphaera.mpiwg-berlin.mpg.de/Scaler/IIIF/permanent!sphaera!1746_sacrobosco_christophori_1593!pageimg!1746_sacrobosco_christophori_1593_p283.jpg/full/max/0/default.jpg,0.0,0,283,3,1746_sacrobosco_christophori_1593,1746_sacrobosco_christophori_1593_p283.jpg
http://content.mpiwg-berlin.mpg.de/mpiwg/online/permanent/sphaera/1746_sacrobosco_christophori_1593/pageimg/1746_sacrobosco_christophori_1593_p283.jpg,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/04676762-d608-4a05-b8a1-0bca518ab4f3,"2430,3558,39,55",6,http://db.sphaera.mpiwg-berlin.mpg.de/Scaler/IIIF/permanent!sphaera!1746_sacrobosco_christophori_1593!pageimg!1746_sacrobosco_christophori_1593_p283.jpg/full/max/0/default.jpg,6.0,0,283,4,1746_sacrobosco_christophori_1593,1746_sacrobosco_christophori_1593_p283.jpg
http://content.mpiwg-berlin.mpg.de/mpiwg/online/permanent/sphaera/1746_sacrobosco_christophori_1593/pageimg/1746_sacrobosco_christophori_1593_p283.jpg,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/051f8204-4672-44e4-987a-3d0b31b51a64,"3065,2959,1,1",^3,http://db.sphaera.mpiwg-berlin.mpg.de/Scaler/IIIF/permanent!sphaera!1746_sacrobosco_christophori_1593!pageimg!1746_sacrobosco_christophori_1593_p283.jpg/full/max/0/default.jpg,3.0,0,283,5,1746_sacrobosco_christophori_1593,1746_sacrobosco_christophori_1593_p283.jpg
http://content.mpiwg-berlin.mpg.de/mpiwg/online/permanent/sphaera/1746_sacrobosco_christophori_1593/pageimg/1746_sacrobosco_christophori_1593_p283.jpg,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/0527f823-3069-4eb4-b7bf-0e1fece4c67d,"2938,1978,41,41",0,http://db.sphaera.mpiwg-berlin.mpg.de/Scaler/IIIF/permanent!sphaera!1746_sacrobosco_christophori_1593!pageimg!1746_sacrobosco_christophori_1593_p283.jpg/full/max/0/default.jpg,0.0,0,283,6,1746_sacrobosco_christophori_1593,1746_sacrobosco_christophori_1593_p283.jpg
http://content.mpiwg-berlin.mpg.de/mpiwg/online/permanent/sphaera/1746_sacrobosco_christophori_1593/pageimg/1746_sacrobosco_christophori_1593_p283.jpg,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/0563ea3e-4c0f-4ab5-ad80-3eb037cec9ae,"2839,3467,41,46",0,http://db.sphaera.mpiwg-berlin.mpg.de/Scaler/IIIF/permanent!sphaera!1746_sacrobosco_christophori_1593!pageimg!1746_sacrobosco_christophori_1593_p283.jpg/full/max/0/default.jpg,0.0,0,283,7,1746_sacrobosco_christophori_1593,1746_sacrobosco_christophori_1593_p283.jpg
http://content.mpiwg-berlin.mpg.de/mpiwg/online/permanent/sphaera/1746_sacrobosco_christophori_1593/pageimg/1746_sacrobosco_christophori_1593_p283.jpg,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/0760d9b5-beb7-4ca2-b0fa-39117b5f0fa8,"2650,2273,34,48",1,http://db.sphaera.mpiwg-berlin.mpg.de/Scaler/IIIF/permanent!sphaera!1746_sacrobosco_christophori_1593!pageimg!1746_sacrobosco_christophori_1593_p283.jpg/full/max/0/default.jpg,1.0,0,283,8,1746_sacrobosco_christophori_1593,1746_sacrobosco_christophori_1593_p283.jpg
http://content.mpiwg-berlin.mpg.de/mpiwg/online/permanent/sphaera/1746_sacrobosco_christophori_1593/pageimg/1746_sacrobosco_christophori_1593_p283.jpg,http://dev.sphaera.mpiwg-berlin.mpg.de/container/ImageRegions.Container/0818bcad-d964-48e3-b598-97971942f911,"3135,3069,42,45",0$,http://db.sphaera.mpiwg-berlin.mpg.de/Scaler/IIIF/permanent!sphaera!1746_sacrobosco_christophori_1593!pageimg!1746_sacrobosco_christophori_1593_p283.jpg/full/max/0/default.jpg,0.0,0,283,9,1746_sacrobosco_christophori_1593,1746_sacrobosco_christophori_1593_p283.jpg
